'Year SSP119        SSP126       SSP245     SSP370     SSP434     SSP460      SSP585      SSP534-over  RCP2.6     RCP4.5     RCP6.0      RCP8.5
1821  -0.13918064   -0.13918064  -0.139180  -0.139180  -0.139180  -0.139180   -0.139757   -0.139180    -0.101987  -0.101987  -0.101987   -0.101987
1822  -0.10887396   -0.10887396  -0.108873  -0.108873  -0.108873  -0.108873   -0.109084   -0.108873    -0.056090  -0.056090  -0.056090   -0.056090
1823  -0.09992710   -0.09992710  -0.099927  -0.099927  -0.099927  -0.099927   -0.099996   -0.099927    -0.023708  -0.023708  -0.023708   -0.023708
1824  -0.10411068   -0.10411068  -0.104110  -0.104110  -0.104110  -0.104110   -0.104473   -0.104110    -0.003967  -0.003967  -0.003967   -0.003967
1825  -0.07052441   -0.07052441  -0.070524  -0.070524  -0.070524  -0.070524   -0.070790   -0.070524    0.0182602  0.0182602  0.0182602   0.0182602
1826  -0.04092508   -0.04092508  -0.040925  -0.040925  -0.040925  -0.040925   -0.041340   -0.040925    0.0340662  0.0340662  0.0340662   0.0340662
1827  -0.01655913   -0.01655913  -0.016559  -0.016559  -0.016559  -0.016559   -0.016917   -0.016559    0.0511745  0.0511745  0.0511745   0.0511745
1828  -0.00235584   -0.00235584  -0.002355  -0.002355  -0.002355  -0.002355   -0.003065   -0.002355    0.0600905  0.0600905  0.0600905   0.0600905
1829  0.014623711   0.014623711  0.0146237  0.0146237  0.0146237  0.0146237   0.0141967   0.0146237    0.0767590  0.0767590  0.0767590   0.0767590
1830  0.022443908   0.022443908  0.0224439  0.0224439  0.0224439  0.0224439   0.0219027   0.0224439    0.0846559  0.0846559  0.0846559   0.0846559
1831  -0.01769929   -0.01769929  -0.017699  -0.017699  -0.017699  -0.017699   -0.018106   -0.017699    0.0649507  0.0649507  0.0649507   0.0649507
1832  -0.1210761    -0.1210761   -0.121076  -0.121076  -0.121076  -0.121076   -0.121308   -0.121076    0.0159459  0.0159459  0.0159459   0.0159459
1833  -0.10647443   -0.10647443  -0.106474  -0.106474  -0.106474  -0.106474   -0.106659   -0.106474    0.0104501  0.0104501  0.0104501   0.0104501
1834  -0.0651209    -0.0651209   -0.065120  -0.065120  -0.065120  -0.065120   -0.065580   -0.065120    0.0370329  0.0370329  0.0370329   0.0370329
1835  -0.10589548   -0.10589548  -0.105895  -0.105895  -0.105895  -0.105895   -0.106314   -0.105895    -0.046808  -0.046808  -0.046808   -0.046808
1836  -0.20767136   -0.20767136  -0.207671  -0.207671  -0.207671  -0.207671   -0.207945   -0.207671    -0.198869  -0.198869  -0.198869   -0.198869
1837  -0.1654014    -0.1654014   -0.165401  -0.165401  -0.165401  -0.165401   -0.165596   -0.165401    -0.155757  -0.155757  -0.155757   -0.155757
1838  -0.09551735   -0.09551735  -0.095517  -0.095517  -0.095517  -0.095517   -0.095972   -0.095517    -0.072681  -0.072681  -0.072681   -0.072681
1839  -0.04732815   -0.04732815  -0.047328  -0.047328  -0.047328  -0.047328   -0.047710   -0.047328    -0.009101  -0.009101  -0.009101   -0.009101
1840  -0.01271012   -0.01271012  -0.012710  -0.012710  -0.012710  -0.012710   -0.013012   -0.012710    0.0306032  0.0306032  0.0306032   0.0306032
1841  0.001367683   0.001367683  0.0013676  0.0013676  0.0013676  0.0013676   0.0007937   0.0013676    0.0458088  0.0458088  0.0458088   0.0458088
1842  0.015292264   0.015292264  0.0152922  0.0152922  0.0152922  0.0152922   0.0150559   0.0152922    0.0644684  0.0644684  0.0644684   0.0644684
1843  0.024266512   0.024266512  0.0242665  0.0242665  0.0242665  0.0242665   0.0242501   0.0242665    0.0786116  0.0786116  0.0786116   0.0786116
1844  0.027517091   0.027517091  0.0275170  0.0275170  0.0275170  0.0275170   0.0272758   0.0275170    0.0850070  0.0850070  0.0850070   0.0850070
1845  0.034473474   0.034473474  0.0344734  0.0344734  0.0344734  0.0344734   0.0343013   0.0344734    0.0959811  0.0959811  0.0959811   0.0959811
1846  0.040036914   0.040036914  0.0400369  0.0400369  0.0400369  0.0400369   0.0397046   0.0400369    0.1034878  0.1034878  0.1034878   0.1034878
1847  0.046277936   0.046277936  0.0462779  0.0462779  0.0462779  0.0462779   0.0459350   0.0462779    0.1136956  0.1136956  0.1136956   0.1136956
1848  0.040203791   0.040203791  0.0402037  0.0402037  0.0402037  0.0402037   0.0395739   0.0402037    0.1197233  0.1197233  0.1197233   0.1197233
1849  0.050874938   0.050874938  0.0508749  0.0508749  0.0508749  0.0508749   0.0504442   0.0508749    0.1311209  0.1311209  0.1311209   0.1311209
1850  0.058690942   0.058690942  0.0586909  0.0586909  0.0586909  0.0586909   0.0581687   0.0586909    0.1292205  0.1292205  0.1292205   0.1292205
1851  0.066379617   0.066379617  0.0663796  0.0663796  0.0663796  0.0663796   0.0659962   0.0663796    0.1317760  0.1317760  0.1317760   0.1317760
1852  0.073695307   0.073695307  0.0736953  0.0736953  0.0736953  0.0736953   0.0735770   0.0736953    0.1399169  0.1399169  0.1399169   0.1399169
1853  0.069391365   0.069391365  0.0693913  0.0693913  0.0693913  0.0693913   0.0692108   0.0693913    0.1435817  0.1435817  0.1435817   0.1435817
1854  0.053153368   0.053153368  0.0531533  0.0531533  0.0531533  0.0531533   0.0526689   0.0531533    0.1435510  0.1435510  0.1435510   0.1435510
1855  0.053035462   0.053035462  0.0530354  0.0530354  0.0530354  0.0530354   0.0525914   0.0530354    0.1473173  0.1473173  0.1473173   0.1473173
1856  0.065262376   0.065262376  0.0652623  0.0652623  0.0652623  0.0652623   0.0651039   0.0652623    0.1254685  0.1254685  0.1254685   0.1254685
1857  0.061810427   0.061810427  0.0618104  0.0618104  0.0618104  0.0618104   0.0615189   0.0618104    0.0027678  0.0027678  0.0027678   0.0027678
1858  0.055656453   0.055656453  0.0556564  0.0556564  0.0556564  0.0556564   0.0551237   0.0556564    -0.033781  -0.033781  -0.033781   -0.033781
1859  0.070669559   0.070669559  0.0706695  0.0706695  0.0706695  0.0706695   0.0702261   0.0706695    0.0339000  0.0339000  0.0339000   0.0339000
1860  0.083812072   0.083812072  0.0838120  0.0838120  0.0838120  0.0838120   0.0833911   0.0838120    0.0785615  0.0785615  0.0785615   0.0785615
1861  0.088264899   0.088264899  0.0882648  0.0882648  0.0882648  0.0882648   0.0876603   0.0882648    0.1059986  0.1059986  0.1059986   0.1059986
1862  0.061008964   0.061008964  0.0610089  0.0610089  0.0610089  0.0610089   0.0607845   0.0610089    0.1139361  0.1139361  0.1139361   0.1139361
1863  0.014871938   0.014871938  0.0148719  0.0148719  0.0148719  0.0148719   0.0148082   0.0148719    0.1024153  0.1024153  0.1024153   0.1024153
1864  0.033878619   0.033878619  0.0338786  0.0338786  0.0338786  0.0338786   0.0336523   0.0338786    0.1140058  0.1140058  0.1140058   0.1140058
1865  0.061771212   0.061771212  0.0617712  0.0617712  0.0617712  0.0617712   0.0614804   0.0617712    0.1302378  0.1302378  0.1302378   0.1302378
1866  0.078957184   0.078957184  0.0789571  0.0789571  0.0789571  0.0789571   0.0784569   0.0789571    0.1399794  0.1399794  0.1399794   0.1399794
1867  0.091198263   0.091198263  0.0911982  0.0911982  0.0911982  0.0911982   0.0906880   0.0911982    0.1498055  0.1498055  0.1498055   0.1498055
1868  0.097815637   0.097815637  0.0978156  0.0978156  0.0978156  0.0978156   0.0969337   0.0978156    0.1543935  0.1543935  0.1543935   0.1543935
1869  0.11090685    0.11090685   0.1109068  0.1109068  0.1109068  0.1109068   0.1103547   0.1109068    0.1705535  0.1705535  0.1705535   0.1705535
1870  0.1168034     0.1168034    0.1168034  0.1168034  0.1168034  0.1168034   0.1161212   0.1168034    0.1763095  0.1763095  0.1763095   0.1763095
1871  0.12414971    0.12414971   0.1241497  0.1241497  0.1241497  0.1241497   0.1235042   0.1241497    0.1836549  0.1836549  0.1836549   0.1836549
1872  0.13271286    0.13271286   0.1327128  0.1327128  0.1327128  0.1327128   0.1324647   0.1327128    0.1942054  0.1942054  0.1942054   0.1942054
1873  0.12466076    0.12466076   0.1246607  0.1246607  0.1246607  0.1246607   0.1241127   0.1246607    0.1894597  0.1894597  0.1894597   0.1894597
1874  0.1127372     0.1127372    0.1127372  0.1127372  0.1127372  0.1127372   0.1119591   0.1127372    0.1829846  0.1829846  0.1829846   0.1829846
1875  0.1201557     0.1201557    0.1201557  0.1201557  0.1201557  0.1201557   0.1194643   0.1201557    0.1890191  0.1890191  0.1890191   0.1890191
1876  0.1307317     0.1307317    0.1307317  0.1307317  0.1307317  0.1307317   0.1301998   0.1307317    0.1958883  0.1958883  0.1958883   0.1958883
1877  0.13741834    0.13741834   0.1374183  0.1374183  0.1374183  0.1374183   0.1369294   0.1374183    0.2003836  0.2003836  0.2003836   0.2003836
1878  0.14021241    0.14021241   0.1402124  0.1402124  0.1402124  0.1402124   0.1395761   0.1402124    0.2015104  0.2015104  0.2015104   0.2015104
1879  0.14375543    0.14375543   0.1437554  0.1437554  0.1437554  0.1437554   0.1430313   0.1437554    0.2047784  0.2047784  0.2047784   0.2047784
1880  0.15020806    0.15020806   0.1502080  0.1502080  0.1502080  0.1502080   0.1495920   0.1502080    0.2128096  0.2128096  0.2128096   0.2128096
1881  0.15378438    0.15378438   0.1537843  0.1537843  0.1537843  0.1537843   0.1529321   0.1537843    0.2165213  0.2165213  0.2165213   0.2165213
1882  0.16277797    0.16277797   0.1627779  0.1627779  0.1627779  0.1627779   0.1623350   0.1627779    0.2304071  0.2304071  0.2304071   0.2304071
1883  0.15166411    0.15166411   0.1516641  0.1516641  0.1516641  0.1516641   0.1513821   0.1516641    0.1959348  0.1959348  0.1959348   0.1959348
1884  0.046792987   0.046792987  0.0467929  0.0467929  0.0467929  0.0467929   0.0461995   0.0467929    -0.062951  -0.062951  -0.062951   -0.062951
1885  -0.05330693   -0.05330693  -0.053306  -0.053306  -0.053306  -0.053306   -0.053793   -0.053306    -0.173811  -0.173811  -0.173811   -0.173811
1886  0.015839494   0.015839494  0.0158394  0.0158394  0.0158394  0.0158394   0.0151247   0.0158394    -0.038825  -0.038825  -0.038825   -0.038825
