dayofyear,date,hot_per,hot_err,cold_per,cold_err,dry_per,dry_err,wet_per,wet_err,month
170,2001-06-19,100.0,4.4356606417817375,64.20454545454545,0.007976219449632005,6.25,0.11270823976334832,71.40151515151516,0.03985337845524479,6
171,2001-06-20,100.0,4.4356606417817375,64.58333333333333,0.008044820612001402,10.416666666666666,0.2539695099450725,72.1590909090909,0.038532759158408515,6
172,2001-06-21,100.0,4.4356606417817375,65.3409090909091,0.008182022936737532,10.416666666666666,0.16948522520349307,74.24242424242425,0.03490105609214592,6
173,2001-06-22,100.0,4.4356606417817375,66.28787878787878,0.00835352584266058,12.5,1.2134777751783243,74.24242424242425,0.03490105609214592,6
174,2001-06-23,100.0,4.4356606417817375,67.04545454545455,0.008490728167397599,8.333333333333334,0.3772210917904495,74.62121212121212,0.03424074644372283,6
175,2001-06-24,100.0,4.4356606417817375,67.8030303030303,0.008627930492135505,8.333333333333334,0.03073561851157791,75.37878787878788,0.03292012714689647,6
176,2001-06-25,100.0,4.4356606417817375,67.99242424242425,0.0029141301004269593,8.333333333333334,0.2511221641432275,76.13636363636364,0.031599507850070103,6
177,2001-06-26,100.0,4.4356606417817375,68.18181818181819,0.007701318967738402,8.333333333333334,0.15011205550471374,76.70454545454545,0.03060904337745033,6
178,2001-06-27,100.0,4.4356606417817375,67.04545454545455,0.01581685512012676,10.416666666666666,1.4570736071529424,76.70454545454545,0.03060904337745033,6
179,2001-06-28,100.0,4.88909204791247,66.28787878787878,0.02703110660131447,10.416666666666666,0.9674142543375073,76.89393939393939,0.03027888855324374,6
180,2001-06-29,100.0,4.88909204791247,65.9090909090909,0.026803560560722417,6.25,0.1618780974251628,76.70454545454545,0.03060904337745033,6
181,2001-06-30,100.0,4.88909204791247,66.09848484848484,0.03147353729352709,6.25,0.1946036398379114,75.9469696969697,0.045007378903777845,6
182,2001-07-01,100.0,4.88909204791247,67.61363636363636,0.03159863247475059,0.0,13.341637487197051,75.9469696969697,0.040329260598533916,7
183,2001-07-02,100.0,4.88909204791247,68.56060606060606,0.032220314309159725,0.0,11.264452465753966,74.62121212121212,0.043103314332308754,7
184,2001-07-03,100.0,4.88909204791247,70.07575757575758,0.008374944873914991,0.0,9.189830344703985,74.0530303030303,0.04429219450392654,7
185,2001-07-04,100.0,4.88909204791247,71.40151515151516,0.0016357273459135513,0.0,8.197020281850318,73.10606060606061,0.04627366145662285,7
186,2001-07-05,100.0,4.88909204791247,71.40151515151516,0.0016357273459135513,0.0,8.544602563646684,73.67424242424242,0.024262367925788314,7
187,2001-07-06,100.0,4.88909204791247,71.21212121212122,0.0016263561915330627,0.0,8.217217776100895,72.34848484848484,0.025987810914855296,7
188,2001-07-07,100.0,4.88909204791247,71.21212121212122,0.0016263561915330627,0.0,6.8243339916065295,72.1590909090909,0.026234302770436292,7
189,2001-07-08,100.0,4.88909204791247,72.91666666666667,0.0017106965809619012,0.0,6.052372459658216,71.5909090909091,0.026973778337186685,7
190,2001-07-09,100.0,6.4490558987805,74.24242424242425,0.0017762946616288744,0.0,5.7162043236389515,71.21212121212122,0.027466762048348685,7
191,2001-07-10,100.0,4.86902136522815,74.81060606060606,0.0018044081247721167,0.0,5.370220210280973,71.02272727272727,0.027713253903922284,7
192,2001-07-11,100.0,4.86902136522815,75.18939393939394,0.0018231504335348703,0.0,5.082098268068258,70.64393939393939,0.028206237615091674,7
193,2001-07-12,100.0,4.86902136522815,75.56818181818181,0.0018418927422967357,0.0,4.149226278326953,70.07575757575758,0.02894571318183467,7
194,2001-07-13,100.0,4.86902136522815,75.0,0.0018137792791534935,0.0,2.7400881171250404,70.45454545454545,0.028452729470672677,7
195,2001-07-14,100.0,4.86902136522815,73.48484848484848,0.0017388100441051435,0.0,2.182944716222398,70.07575757575758,0.02894571318183467,7
196,2001-07-15,100.0,4.86902136522815,71.78030303030303,0.0033360614221864537,0.0,1.8596133263062384,70.45454545454545,0.028452729470672677,7
197,2001-07-16,100.0,4.86902136522815,71.21212121212122,0.00324303836857176,0.0,2.636519197294824,69.31818181818181,0.07619394605125923,7
198,2001-07-17,100.0,4.86902136522815,69.88636363636364,0.0033429289769211223,0.0,2.0125558662253447,69.88636363636364,0.07459776186514196,7
199,2001-07-18,100.0,4.86902136522815,67.99242424242425,0.0030527857416116078,0.0,1.4425706083583254,69.12878787878788,0.07672600744665295,7
200,2001-07-19,100.0,4.86902136522815,65.53030303030303,0.015966612307257044,0.0,0.4474772388240318,70.45454545454545,0.07300157767900871,7
