# Generated by vcsn_npz_to_csv.ipynb    Author Bryn Gibson # depreciated due to error in detrending by BS
# This file contains vcsn data detrended by SWG Full Package 
# The data is for the coordinates lat_val: -43.372 lon_val: 172.333 
date,pr,tasmax,tasmin,rsds,evspsblpot
1972-05-17,0.0,286.77500696631677,278.56115897351685,70.00736705452704,8.914328371551555e-06
1972-05-18,4.51581618108321e-05,285.6749274865452,276.26110371115544,49.17365019595533,8.914260872334832e-06
1972-05-19,0.0,285.6748541102892,277.6610911734034,75.79372972410235,8.123225970731442e-07
1972-05-20,3.5896620829589665e-05,285.77478683754885,274.56104811807324,83.89526219414392,1.0071535188957081e-05
1972-05-21,0.0,284.6747073577772,276.2609928557118,100.09866233996672,7.756647240639548e-06
1972-05-22,0.0,288.8746461885525,272.66098031795974,97.78350016889502,2.0488090392487865e-05
1972-05-23,0.0,290.7745667087809,276.2609189520827,70.00531004372175,1.933061448771014e-05
1972-05-24,0.0,285.07448112549366,276.3608881037838,96.6253972012633,1.1228675416640587e-05
1972-05-25,0.0,281.67441385275333,275.5608633590005,68.84721470548453,5.441557704166544e-06
1972-05-26,0.0,283.27434658001295,269.96082030367035,104.72657920677611,1.0071130193656734e-05
1972-05-27,9.954628330888227e-05,285.8742793072726,272.9607833518558,26.022363690977812,6.598832930283499e-06
1972-05-28,0.0,284.774199827501,274.9607464000413,83.89251951307017,3.126535212162919e-06
1972-05-29,2.7784595658886246e-05,288.9741386582763,273.160721655258,89.67922501777971,1.4700567684713475e-05
1972-05-30,6.829282210674137e-05,285.97406528202026,271.9606724964122,75.78995853762595,1.817273176864266e-05
1972-05-31,0.0,283.4739919057643,272.5606416481133,102.41004569516753,8.913383382517408e-06
1972-06-01,0.0,289.77390632247705,273.4605985927831,45.696617685472745,1.4700365187063296e-05
1972-06-02,0.0,290.97384515325234,279.6605738479998,93.15008268114906,2.164475812565429e-05
1972-06-03,0.0,283.07374736293383,277.8605185856384,72.31636582257738,5.440950211216025e-06
1972-06-04,0.0,283.37369229722475,270.96048773733946,85.0475293350994,5.4408827119992985e-06
1972-06-05,0.0001273139496333897,287.7736128174531,272.06045688904055,79.26013816012141,1.817232677334231e-05
1972-06-06,4.74515363748651e-05,280.5735272341659,273.560419937226,89.67648233670596,6.598157938116253e-06
1972-06-07,0.0,280.77346606494115,272.96037688189585,74.62980618858344,6.598090438899527e-06
1972-06-08,0.0,281.8733987922008,273.06034603359694,51.48126617937697,5.440612715132404e-06
1972-06-09,0.0,280.1733132089136,273.26029077123553,79.25876681958457,3.125725221562221e-06
1972-06-10,0.0,281.37325203968885,272.06027212996787,79.25842398445033,4.283067946895898e-06
1972-06-11,0.0,282.573160352886,270.3602229711221,80.41549081728488,1.1227460430739541e-05
1972-06-12,1.5037287994346116e-05,280.77309918366126,273.26017991579187,50.322485170871346,8.107026158717481e-07
1972-06-13,0.00015971242100931704,278.2730258074053,274.16016737803983,0.603894141351816,3.125455224695316e-06
1972-06-14,0.0,281.2729524311493,275.56012432270967,72.31259463610098,8.105676174383024e-07
1972-06-15,0.0,281.37288515840896,273.26006906034826,58.42332434124995,4.282730450812274e-06
1972-06-16,0.0,283.9728178856686,275.2600321085337,38.74701715064697,7.75489226100471e-06
1972-06-17,0.0,285.77273230238137,274.96000736375044,68.83932949739753,7.754824761787983e-06
1972-06-18,7.29010280338116e-05,280.27265892612536,271.3599643084203,75.7834446700758,1.4699217700378977e-05
1972-06-19,0.0,278.57257334283815,271.6599456671526,58.421953000713074,3.1250502293949686e-06
1972-06-20,0.0,282.57249996658214,271.4598965083068,94.30132131670192,1.0069442713238618e-05
1972-06-21,0.0,281.1724326938418,273.4598595564923,61.89350014904815,4.2823254555119266e-06
1972-06-22,0.0,284.5723532140702,270.0598287081934,90.82840664252723,1.585635701856778e-05
1972-06-23,0.0,287.3722981483611,273.95978565286316,78.09655745973674,1.5856289519351054e-05
