doy,smd
130,-20.170449627841307
131,-19.354734766411482
132,-19.092225204910957
133,-18.92137884252596
134,-19.04347286819127
135,-19.28794632199343
136,-17.154962850313836
137,-16.713012823491944
138,-15.822621073935176
139,-14.305015915565056
140,-13.524396940434373
141,-12.309046340635298
142,-11.914579620071693
143,-11.011775671711876
144,-10.40707001093546
145,-10.070105718980825
146,-10.365408743155914
147,-10.874355224206393
148,-10.732058827771636
149,-10.865394926038986
150,-11.102209238085255
151,-11.756627850658102
152,-10.448244531222121
153,-10.03124262839433
154,-10.284374681143415
155,-9.377268963395986
156,-9.152419080243783
157,-8.65824232667393
158,-8.650967588232698
159,-8.564377113850355
160,-8.028734114826515
161,-8.208270905508465
162,-8.146311412194061
163,-7.86543863712951
164,-8.196539775137715
165,-8.371711784589756
166,-7.315650267062801
167,-7.710651816996881
168,-6.961987481014584
169,-6.80136208825688
170,-7.166541347792071
171,-7.407080298904494
172,-7.653488344348432
173,-7.3687801002083
174,-7.53750464022718
175,-7.356757030998297
176,-7.449715642362889
177,-8.000676545961056
178,-7.1021261204291575
179,-7.004613351240928
180,-7.045534718950898
181,-6.317635826371443
182,-6.859497055728268
183,-6.349068361956497
184,-6.436991378646469
185,-6.761458088224393
186,-5.727799856476492
187,-6.18018694018522
188,-6.052316293417164
189,-6.466085343078208
190,-6.593105973646518
191,-6.860834819238566
192,-6.841151273308032
193,-6.357590015598385
194,-5.816268970098639
195,-5.7278350777758
196,-5.5862227223457674
197,-4.682107218995155
198,-4.286881832393432
199,-3.8296295976029757
200,-3.534114877436692
201,-3.5534718085883923
202,-3.805292838244345
203,-4.095688041375977
204,-4.324562258608171
205,-4.938710612619193
206,-5.419716164050064
207,-5.9421923203360025
208,-6.68567052619139
209,-7.194665305140834
210,-6.705203433900517
211,-7.42745150273019
212,-8.08087912560549
213,-8.31168742983489
214,-8.134195979373484
215,-8.738022761527551
216,-8.082961247845128
217,-8.653780164089472
218,-9.224435980057297
219,-8.88178703957259
220,-8.992101911839134
221,-9.860019713562046
222,-9.965949287601314
223,-9.597587284268217
224,-9.313770452183034
225,-9.512351974419198
226,-9.786090720500818
227,-9.945709162126056
228,-10.31817087037216
229,-9.99555346812897
230,-9.539677215093324
231,-9.79757174266328
232,-10.588897683905774
233,-10.492101823146117
234,-11.414156217949262
235,-11.479952852378776
236,-11.792677481024661
237,-11.419480841910502
238,-11.159429032165376
239,-11.779358412957382
240,-12.003250098443198
241,-12.628576730361633
242,-13.03757139530993
243,-14.127789532382383
