,month,state,50,60,75,80,90,95,99
31,4,C-W,0.1379687558214134,0.1898797894977055,0.4450962537962937,0.4920027082819732,0.6936667034193627,0.8730362881343382,0.955345649613091
32,4,H-AP,0.1379687558214134,0.1898797894977055,0.4450962537962937,0.4920027082819732,0.6936667034193627,0.8730362881343382,0.955345649613091
33,4,H-D,0.4807945889037193,0.5411690501079043,0.6431307875174141,0.6656808466200816,0.729641568781522,0.7768544367944744,0.8146247312048366
34,4,H-W,0.1379687558214134,0.1898797894977055,0.4450962537962937,0.4920027082819732,0.6936667034193627,0.8730362881343382,0.955345649613091
35,5,AT-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,5,AT-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5,AT-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,5,C-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,5,C-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,5,C-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,5,H-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,5,H-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,5,H-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,6,AT-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,6,AT-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,6,AT-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,6,C-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,6,C-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,6,C-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,6,H-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,6,H-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,6,H-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,7,AT-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,7,AT-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,7,AT-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,7,C-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,7,C-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,7,C-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,7,H-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,7,H-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,7,H-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,8,AT-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,8,AT-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,8,AT-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8,C-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,8,C-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,8,C-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,8,H-AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,8,H-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,8,H-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,9,AT-AP,1e-08,1e-08,0.0252399174535435,0.0459259218133737,0.0968712300401912,0.2451569685928525,0.4591018018532787
72,9,AT-D,1e-08,1e-08,1e-08,0.040225203221226,0.2066679906293081,0.2316068759836094,0.2515579842670506
73,9,AT-W,1e-08,1e-08,0.0252399174535435,0.0459259218133737,0.0968712300401912,0.2451569685928525,0.4591018018532787
74,9,C-AP,1e-08,1e-08,0.0252399174535435,0.0459259218133737,0.0968712300401912,0.2451569685928525,0.4591018018532787
75,9,C-W,1e-08,1e-08,0.0252399174535435,0.0459259218133737,0.0968712300401912,0.2451569685928525,0.4591018018532787
76,9,H-AP,1e-08,1e-08,0.0252399174535435,0.0459259218133737,0.0968712300401912,0.2451569685928525,0.4591018018532787
77,9,H-D,1e-08,1e-08,1e-08,0.040225203221226,0.2066679906293081,0.2316068759836094,0.2515579842670506
78,9,H-W,1e-08,1e-08,0.0252399174535435,0.0459259218133737,0.0968712300401912,0.2451569685928525,0.4591018018532787
79,10,AT-AP,1e-08,0.000296583805232,0.0182225439123507,0.0268741797913614,0.0840617377172031,0.2300475319914456,0.3927123097894789
80,10,AT-D,1e-08,0.0008338112945228,0.0091292506126281,0.0160735224086478,0.0301212261707046,0.0372511848317448,0.042955151760577
81,10,AT-W,1e-08,0.000296583805232,0.0182225439123507,0.0268741797913614,0.0840617377172031,0.2300475319914456,0.3927123097894789
82,10,C-AP,1e-08,0.000296583805232,0.0182225439123507,0.0268741797913614,0.0840617377172031,0.2300475319914456,0.3927123097894789
83,10,C-W,1e-08,0.000296583805232,0.0182225439123507,0.0268741797913614,0.0840617377172031,0.2300475319914456,0.3927123097894789
84,10,H-AP,1e-08,0.000296583805232,0.0182225439123507,0.0268741797913614,0.0840617377172031,0.2300475319914456,0.3927123097894789
85,10,H-D,1e-08,0.0008338112945228,0.0091292506126281,0.0160735224086478,0.0301212261707046,0.0372511848317448,0.042955151760577
86,10,H-W,1e-08,0.000296583805232,0.0182225439123507,0.0268741797913614,0.0840617377172031,0.2300475319914456,0.3927123097894789
87,11,AT-AP,1e-08,1e-08,1e-08,1e-08,0.0664245591910842,0.1147881512186959,0.6211303147330278
88,11,AT-D,0.0170195635227169,0.0171894685443007,0.0329137246473119,0.0751960556936204,0.1559854083658151,0.1907171205712793,0.2185024903356507
89,11,AT-W,1e-08,1e-08,1e-08,1e-08,0.0664245591910842,0.1147881512186959,0.6211303147330278
90,11,C-AP,1e-08,1e-08,1e-08,1e-08,0.0664245591910842,0.1147881512186959,0.6211303147330278
91,11,C-D,0.0170195635227169,0.0171894685443007,0.0329137246473119,0.0751960556936204,0.1559854083658151,0.1907171205712793,0.2185024903356507
92,11,C-W,1e-08,1e-08,1e-08,1e-08,0.0664245591910842,0.1147881512186959,0.6211303147330278
93,11,H-AP,1e-08,1e-08,1e-08,1e-08,0.0664245591910842,0.1147881512186959,0.6211303147330278
94,11,H-D,0.0170195635227169,0.0171894685443007,0.0329137246473119,0.0751960556936204,0.1559854083658151,0.1907171205712793,0.2185024903356507
95,11,H-W,1e-08,1e-08,1e-08,1e-08,0.0664245591910842,0.1147881512186959,0.6211303147330278
96,12,AT-AP,1e-08,0.010861697253862,0.0622155119218114,0.1213470907790358,0.3559484533898754,0.4248643302385105,0.6225090167761688
97,12,AT-D,1e-08,0.0008175423003179,0.0085945560139725,0.0149041383313083,0.0331631703731563,0.0460525979988647,0.0563641400994315
98,12,AT-W,1e-08,0.010861697253862,0.0622155119218114,0.1213470907790358,0.3559484533898754,0.4248643302385105,0.6225090167761688
99,12,C-AP,1e-08,0.010861697253862,0.0622155119218114,0.1213470907790358,0.3559484533898754,0.4248643302385105,0.6225090167761688
100,12,C-W,1e-08,0.010861697253862,0.0622155119218114,0.1213470907790358,0.3559484533898754,0.4248643302385105,0.6225090167761688
101,12,H-AP,1e-08,0.010861697253862,0.0622155119218114,0.1213470907790358,0.3559484533898754,0.4248643302385105,0.6225090167761688
102,12,H-D,1e-08,0.0008175423003179,0.0085945560139725,0.0149041383313083,0.0331631703731563,0.0460525979988647,0.0563641400994315
103,12,H-W,1e-08,0.010861697253862,0.0622155119218114,0.1213470907790358,0.3559484533898754,0.4248643302385105,0.6225090167761688
