0=normal temp: -1=cold; ; 1=hot; Precip: -1=wet; 1=dry; rest: 1=anomalous restrictions. prev_{} = previous months data  
month,year,temp,precip,rest,rest_cum,prev_temp,prev_precip,prev_rest,prev_rest_cum
1,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8673248886592434
2,1984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1984,0.0,0.0,0.0,0.4259642543490216,1.0,0.0,0.0,0.0
4,1984,0.0,1.0,1.0,10.91840592536305,0.0,0.0,0.0,0.4259642543490216
5,1984,0.0,0.0,0.0,2.4594900238621826,0.0,1.0,1.0,10.91840592536305
6,1984,-1.0,0.0,0.0,12.843924185866001,0.0,0.0,0.0,2.4594900238621826
7,1984,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,12.843924185866001
8,1984,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
9,1984,0.0,0.0,0.0,6.912781831969047,0.0,0.0,0.0,0.0
10,1984,0.0,1.0,0.0,1.9677706058138709,0.0,0.0,0.0,6.912781831969047
11,1984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9677706058138709
12,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985,1.0,0.0,0.0,16.736015447246878,1.0,1.0,0.0,0.0
3,1985,0.0,0.0,1.0,30.11733164269278,1.0,0.0,0.0,16.736015447246878
4,1985,0.0,1.0,1.0,23.724942811668075,0.0,0.0,1.0,30.11733164269278
5,1985,-1.0,0.0,0.0,20.3472684863997,0.0,1.0,1.0,23.724942811668075
6,1985,-1.0,0.0,0.0,6.320482683085804,-1.0,0.0,0.0,20.3472684863997
7,1985,-1.0,0.0,0.0,5.506289982592439,-1.0,0.0,0.0,6.320482683085804
8,1985,-1.0,0.0,0.0,1.3429011792670709,-1.0,0.0,0.0,5.506289982592439
9,1985,0.0,0.0,0.0,0.5572449255121883,-1.0,0.0,0.0,1.3429011792670709
10,1985,0.0,0.0,0.0,0.2971491059681422,0.0,0.0,0.0,0.5572449255121883
11,1985,0.0,0.0,0.0,0.8376659152373204,0.0,0.0,0.0,0.2971491059681422
12,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8376659152373204
1,1986,1.0,0.0,0.0,0.19437301357282438,0.0,0.0,0.0,0.0
2,1986,0.0,0.0,0.0,11.557102637504926,1.0,0.0,0.0,0.19437301357282438
3,1986,0.0,0.0,0.0,0.3560996671853309,0.0,0.0,0.0,11.557102637504926
4,1986,0.0,1.0,0.0,0.3654477475837423,0.0,0.0,0.0,0.3560996671853309
5,1986,0.0,0.0,0.0,2.0528984773366608,0.0,1.0,0.0,0.3654477475837423
6,1986,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0528984773366608
7,1986,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
8,1986,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
9,1986,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
10,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1987,1.0,1.0,0.0,3.565879116332372,1.0,1.0,0.0,0.0
2,1987,1.0,0.0,0.0,0.2384674146392562,1.0,1.0,0.0,3.565879116332372
3,1987,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2384674146392562
4,1987,0.0,1.0,0.0,0.0073958434847241,0.0,0.0,0.0,0.0
5,1987,0.0,0.0,0.0,0.373106433445821,0.0,1.0,0.0,0.0073958434847241
6,1987,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373106433445821
7,1987,-1.0,0.0,0.0,1.3612441664598645,-1.0,0.0,0.0,0.0
8,1987,0.0,0.0,0.0,0.8576018574705475,-1.0,0.0,0.0,1.3612441664598645
9,1987,0.0,0.0,0.0,2.783228859822952,0.0,0.0,0.0,0.8576018574705475
10,1987,0.0,0.0,0.0,0.796612435144311,0.0,0.0,0.0,2.783228859822952
11,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796612435144311
12,1987,0.0,0.0,0.0,0.0202501392514205,0.0,0.0,0.0,0.0
1,1988,1.0,0.0,0.0,7.9105864199599445,0.0,0.0,0.0,0.0202501392514205
2,1988,0.0,0.0,0.0,12.265304338923313,1.0,0.0,0.0,7.9105864199599445
3,1988,0.0,1.0,0.0,6.729465251600524,0.0,0.0,0.0,12.265304338923313
4,1988,0.0,0.0,1.0,17.206617101085815,0.0,1.0,0.0,6.729465251600524
5,1988,-1.0,0.0,0.0,8.9249055408178,0.0,0.0,1.0,17.206617101085815
6,1988,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,8.9249055408178
7,1988,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
8,1988,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
9,1988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1988,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1988,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,1988,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1989,1.0,0.0,0.0,9.033512405150537,1.0,1.0,0.0,0.0
2,1989,0.0,0.0,0.0,11.12673575174936,1.0,0.0,0.0,9.033512405150537
3,1989,1.0,1.0,0.0,4.984111918140391,0.0,0.0,0.0,11.12673575174936
4,1989,0.0,0.0,0.0,9.154497746542187,1.0,1.0,0.0,4.984111918140391
5,1989,0.0,0.0,0.0,15.725722032503164,0.0,0.0,0.0,9.154497746542187
6,1989,-1.0,-1.0,0.0,0.4318417523459147,0.0,0.0,0.0,15.725722032503164
7,1989,-1.0,0.0,0.0,3.3432531417233786,-1.0,-1.0,0.0,0.4318417523459147
8,1989,-1.0,0.0,0.0,10.737222674418254,-1.0,0.0,0.0,3.3432531417233786
9,1989,0.0,0.0,1.0,12.371288113377979,-1.0,0.0,0.0,10.737222674418254
10,1989,0.0,0.0,0.0,3.3113066364585424,0.0,0.0,1.0,12.371288113377979
11,1989,0.0,1.0,1.0,5.28082469106563,0.0,0.0,0.0,3.3113066364585424
12,1989,1.0,0.0,1.0,8.071555682378754,0.0,1.0,1.0,5.28082469106563
1,1990,1.0,1.0,0.0,0.6458745277527702,1.0,0.0,1.0,8.071555682378754
2,1990,1.0,0.0,1.0,17.924401524112458,1.0,1.0,0.0,0.6458745277527702
3,1990,1.0,0.0,1.0,18.016338491598418,1.0,0.0,1.0,17.924401524112458
4,1990,0.0,1.0,1.0,13.948056917980384,1.0,0.0,1.0,18.016338491598418
5,1990,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.948056917980384
6,1990,-1.0,0.0,0.0,3.405205054018984,0.0,0.0,0.0,0.0
7,1990,-1.0,0.0,0.0,6.5977923599047665,-1.0,0.0,0.0,3.405205054018984
8,1990,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,6.5977923599047665
9,1990,0.0,0.0,0.0,1.3389444012475713,-1.0,-1.0,0.0,0.0
10,1990,0.0,1.0,0.0,0.6992353242588196,0.0,0.0,0.0,1.3389444012475713
11,1990,0.0,0.0,0.0,0.0028687556493055,0.0,1.0,0.0,0.6992353242588196
12,1990,1.0,1.0,0.0,0.0123950464684632,0.0,0.0,0.0,0.0028687556493055
1,1991,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0123950464684632
2,1991,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1991,0.0,1.0,1.0,22.181824654384766,1.0,0.0,0.0,0.0
4,1991,0.0,0.0,0.0,1.3547485846923364,0.0,1.0,1.0,22.181824654384766
5,1991,0.0,1.0,0.0,0.439536687277386,0.0,0.0,0.0,1.3547485846923364
6,1991,-1.0,-1.0,0.0,4.935544362257173,0.0,1.0,0.0,0.439536687277386
7,1991,-1.0,0.0,0.0,19.091439557335963,-1.0,-1.0,0.0,4.935544362257173
8,1991,0.0,0.0,0.0,0.5683121270401653,-1.0,0.0,0.0,19.091439557335963
