# Generated by vcsn_npz_to_csv.ipynb    Author Bryn Gibson
# This file contains vcsn data detrended by SWG Full Package 
# The data is for the coordinates lat_val: -43.372 lon_val: 172.333 
date,pr,tasmax,tasmin,rsds,evspsblpot
1986-08-06,0.0,285.51977026362323,271.79295535987563,114.44548331804509,1.1318221168392102e-05
1986-08-07,0.00014357295003719628,282.7197829791528,271.9929682628563,77.40835978756476,7.845992723363336e-06
1986-08-08,9.14894844754599e-05,277.71978348765117,273.99296895880576,28.797147206791436,7.84599495198578e-06
1986-08-09,7.528574496973306e-05,279.91976568560267,274.79295744772395,50.78793963090092,6.688587410805169e-06
1986-08-10,0.0006065369816496968,282.6197784011323,276.2929581436734,16.065638297381042,5.53117941487721e-06
1986-08-11,5.4452335461974144e-05,282.519772806115,279.69295273610726,31.111967945306446,5.531181643499655e-06
1986-08-12,0.0,281.51977331461336,276.5929473285411,77.40836530410832,7.846003866475552e-06
1986-08-13,0.0,282.3197921336586,273.19295412800614,126.01958772089361,7.846006095097997e-06
1986-08-14,0.0,282.0197743316101,274.3929670309868,55.41758000462224,9.003418548270846e-06
1986-08-15,0.0,283.81979315065536,272.692955519905,77.40836861403446,1.24756505410498e-05
1986-08-16,0.0,284.8197936591537,271.7929623193701,108.6584460112885,1.247565276967224e-05
1986-08-17,0.0,286.2197880641364,271.89296911883514,123.70478042758549,1.4790475447395493e-05
1986-08-18,0.0,286.1197824691192,273.59295150423776,91.29729556898016,1.247565722691713e-05
1986-08-19,0.0,289.5197768741019,278.8929705107341,55.41758552116582,2.0577531027392397e-05
1986-08-20,0.0,291.2197895896315,278.19295899965226,121.38994914278507,1.942012303146444e-05
1986-08-21,0.00018871181237045676,283.0197778910986,275.0929535920861,29.95457121777349,6.6886141542744955e-06
1986-08-22,0.0002708878892008215,282.21979060662824,278.992978702098,38.05644381156071,6.68861638289694e-06
1986-08-23,0.0006146387313492596,280.01977890809536,278.8929732945318,14.908243926099885,7.846028381322434e-06
1986-08-24,6.9983948378649075e-06,281.6197855201093,277.89297399048127,61.20463937755315,9.003440834495283e-06
1986-08-25,0.0,283.01977992509205,274.19296247939945,105.18621930776615,1.2475672827274237e-05
1986-08-26,0.0,282.0197804335904,273.9929814858958,105.18622041107486,1.3633085280447082e-05
1986-08-27,0.0,282.71979314912005,272.39297607832964,142.22333851877812,1.3633087509069526e-05
1986-08-28,0.0,282.11978755410274,271.29297067076345,83.19543892628604,1.4790499962242375e-05
1986-08-29,3.477618520264514e-05,280.6197880626011,275.8929774702285,70.463926052544,7.846041753057096e-06
1986-08-30,0.0,284.01978246758387,273.29297206266233,117.91773880136051,1.3633094194936857e-05
1986-08-31,0.0,286.01978297608224,273.5929605515805,131.80665592029422,2.1734967995412128e-05
1986-09-01,0.0,289.3198017951275,277.1929673510456,85.51026267545842,2.0577559999484165e-05
1986-09-02,0.0,288.01978399307893,273.5929619434794,106.34364543159916,1.82627399600164e-05
1986-09-03,0.0,286.21979670860856,277.89298094997577,122.54738188647036,1.8262742188638844e-05
1986-09-04,0.0,288.81980332062255,275.7929755424096,131.8066603335291,1.9420156460801096e-05
1986-09-05,0.0,289.91977941505843,275.292976238359,130.64925176886905,2.057756891397394e-05
1986-09-06,0.0,290.91977992355675,277.8929830378241,119.07515619249025,2.0577571142596386e-05
1986-09-07,0.0,291.4197804320551,282.69297152674227,135.2788926473615,3.215167197874406e-05
1986-09-08,1.162788612418808e-05,285.4197809405535,278.0929661191761,114.44551972723269,1.710534401669536e-05
1986-09-09,0.0,283.21979975959874,275.79297902215677,165.3715614799555,1.9420167603913313e-05
1986-09-10,0.0,287.3198063716127,272.39298582162183,157.26969490748294,2.1734990281636565e-05
1986-09-11,0.0,290.31980688011106,274.59296820702446,70.46394039555727,1.9420172061158202e-05
1986-09-12,0.0,290.2198012850938,274.89298721352077,171.15861312972538,2.4049813368992855e-05
1986-09-13,0.0,287.9197834830453,274.69297570243896,174.63084323694034,2.40498155976153e-05
1986-09-14,0.0003426471084821969,286.51979009505925,274.59297029487277,105.18624137394045,1.5947948073374322e-05
1986-09-15,0.0001852393033914268,280.11979670707325,275.9929954048847,28.797189132522618,1.131831031328985e-05
1986-09-16,8.155577233992517e-06,280.71980331908725,276.49299610083415,45.00092940209109,1.1318312541912295e-05
